Sample,Before,After,Different,Feature
100,15.1,28.4,13.3,nearc4 educ age black wage IQ exper lwage
100,9.5,19.5,10.0,nearc4 educ age black wage IQ exper lwage
100,8.8,24.0,15.2,nearc4 educ age black wage IQ exper lwage
100,9.4,26.1,16.7,nearc4 educ age black wage IQ exper lwage
5,17.6,18.0,0.4,nearc4 educ age black wage IQ exper lwage
5,29.2,42.8,13.6,nearc4 educ age black wage IQ exper lwage
5,5.3,15.4,10.1,nearc4 educ age black wage IQ exper lwage
5,4.8,10.3,5.5,nearc4 educ age black wage IQ exper lwage
5,7.2,29.5,22.3,nearc4 educ age black wage IQ exper lwage
5,7.5,25.1,17.6,nearc4 educ age black wage IQ exper lwage
5,8.7,24.1,15.4,nearc4 educ age black wage IQ exper lwage
5,5.9,37.1,31.2,nearc4 educ age black wage IQ exper lwage
5,4.8,25.2,20.4,nearc4 educ age black wage IQ exper lwage
5,15.9,49.1,33.2,nearc4 educ age black wage IQ exper lwage
5,16.8,46.3,29.5,nearc4 educ age black wage IQ exper lwage
5,6.1,22.3,16.2,nearc4 educ age black wage IQ exper lwage
5,7.8,17.0,9.2,nearc4 educ age black wage IQ exper lwage
5,7.1,15.2,8.1,nearc4 educ age black wage IQ exper lwage
5,7.5,33.3,25.8,nearc4 educ age black wage IQ exper lwage
5,7.5,21.0,13.5,nearc4 educ age black wage IQ exper lwage
5,46.5,38.7,7.8,nearc4 educ age black wage IQ exper lwage
5,9.9,20.8,10.9,nearc4 educ age black wage IQ exper lwage
100,12.6,27.2,14.6,nearc4 educ age black wage IQ exper lwage
100,9.8,24.3,14.5,nearc4 educ age black wage IQ exper lwage
10,5.9,28.3,22.4,nearc4 educ age black wage IQ exper lwage
10,10.0,23.4,13.4,nearc4 educ age black wage exper lwage
10,6.2,15.9,9.7,nearc4 educ age black wage exper lwage
10,19.5,47.0,27.5,nearc4 educ age black wage exper lwage
10,6.5,24.4,17.9,nearc4 educ age black wage IQ exper lwage
10,16.2,32.0,15.8,nearc4 educ age black wage IQ exper lwage
10,11.3,20.9,9.6,nearc4 educ age black wage IQ exper lwage
10,13.4,19.8,6.4,nearc4 educ age black wage IQ exper lwage
10,9.1,26.3,17.2,nearc4 educ age black wage IQ exper lwage
10,6.1,20.4,14.3,nearc4 educ age black wage IQ exper lwage
10,10.3,31.8,21.5,nearc4 educ age black wage IQ exper lwage
10,14.5,18.7,4.2,nearc4 educ age black wage IQ exper lwage
100,10.3,24.9,14.6,nearc4 educ age black wage IQ exper lwage
100,10.2,26.0,15.8,nearc4 educ age black wage IQ exper lwage
100,10.9,24.9,14.0,nearc4 educ age black wage IQ exper lwage
100,11.0,27.0,16.0,nearc4 educ age black wage IQ exper lwage
100,8.7,28.2,19.5,nearc4 educ age black wage IQ exper lwage
10,10.7,30.2,19.5,nearc4 educ age black wage IQ exper lwage
10,13.6,43.1,29.5,nearc4 educ age black wage IQ exper lwage
10,7.6,34.3,26.7,nearc4 educ age black wage IQ exper lwage
10,5.8,21.3,15.5,nearc4 educ age black wage IQ exper lwage
10,6.1,24.2,18.1,nearc4 educ age black wage IQ exper lwage
10,17.4,30.5,13.1,nearc4 educ age black wage IQ exper lwage
10,6.7,22.6,15.9,nearc4 educ age black wage IQ exper lwage
10,19.7,36.5,16.8,nearc4 educ age black wage IQ exper lwage
10,10.9,29.5,18.6,nearc4 educ age weight black wage IQ exper lwage
10,10.0,44.4,34.4,nearc4 educ age weight black wage IQ exper lwage
10,7.0,21.6,14.6,nearc4 educ age weight black wage IQ exper lwage
10,7.6,21.9,14.3,nearc4 educ age weight black wage IQ exper lwage
10,7.5,29.8,22.3,nearc4 educ age weight black wage IQ exper lwage
10,8.5,25.7,17.2,nearc4 educ age weight black wage IQ exper lwage
10,6.6,21.8,15.2,nearc4 educ age weight black wage IQ exper lwage
10,7.6,19.8,12.2,nearc4 educ age black wage IQ exper lwage
10,14.0,29.8,15.8,nearc4 educ age black wage IQ exper lwage
20,12.7,35.9,23.2,nearc4 educ age weight black wage IQ exper lwage
20,6.1,21.8,15.7,nearc4 educ age weight black wage IQ exper lwage
15,9.4,23.7,14.3,nearc4 educ age weight black wage IQ exper lwage
15,6.3,28.4,22.1,nearc4 educ age weight black wage IQ exper lwage
15,9.1,28.0,18.9,nearc4 educ age step14 weight black wage IQ exper lwage
15,10.1,28.8,18.7,nearc4 educ age step14 weight black wage IQ exper lwage
15,6.6,24.9,18.3,nearc4 educ age step14 weight black wage IQ exper lwage
15,6.1,21.2,15.1,nearc4 educ age weight black wage IQ lwage
15,11.5,30.9,19.4,nearc4 educ age weight black wage IQ lwage
15,16.3,31.3,15.0,nearc4 educ age weight black wage IQ lwage
15,11.3,39.7,28.4,nearc4 educ age weight black wage IQ lwage
15,8.0,27.2,19.2,nearc4 educ age weight black wage IQ lwage
15,7.8,36.1,28.3,nearc4 educ age weight black wage IQ lwage expersq
15,10.4,21.3,10.9,nearc4 educ age weight black wage IQ lwage expersq
15,12.1,24.9,12.8,nearc4 educ age weight black wage IQ lwage expersq
15,7.0,21.1,14.1,nearc4 educ age weight black wage IQ lwage expersq
15,10.0,27.0,17.0,nearc4 educ age weight black wage IQ lwage expersq
15,11.7,43.0,31.3,nearc4 educ age weight black wage IQ lwage expersq
15,7.2,29.3,22.1,nearc4 educ age weight black wage IQ lwage expersq
15,9.4,23.3,13.9,nearc4 educ age weight black wage IQ lwage expersq
15,22.7,52.6,29.9,nearc4 educ age weight black wage IQ lwage expersq
15,5.9,21.9,16.0,nearc4 educ age weight black wage IQ lwage expersq
15,13.4,26.9,13.5,nearc4 educ age weight black wage IQ lwage expersq
15,9.1,28.7,19.6,nearc4 educ age weight black wage IQ lwage expersq
15,7.1,40.5,33.4,nearc4 educ age weight black wage IQ lwage expersq
15,6.8,24.0,17.2,nearc4 educ age weight black wage IQ lwage expersq
15,14.4,41.8,27.4,nearc4 educ age weight black wage IQ lwage expersq
15,5.8,26.3,20.5,nearc4 educ age weight black wage IQ lwage expersq
15,9.4,34.4,25.0,nearc4 educ age weight black wage IQ lwage expersq
15,6.5,24.2,17.7,nearc4 educ age weight black wage IQ lwage expersq
15,50.1,36.6,13.5,nearc4 educ age weight black wage IQ
15,28.9,18.6,10.3,nearc4 educ age weight black wage IQ
15,23.6,18.0,5.6,nearc4 educ age weight black wage IQ
15,29.7,33.1,3.4,nearc4 educ age weight black wage IQ
15,29.4,29.3,0.1,nearc4 educ age weight black wage IQ
15,33.3,32.2,1.1,nearc4 educ age weight black wage IQ
15,31.4,31.5,0.1,nearc4 educ age weight black wage IQ
15,40.7,40.3,0.4,nearc4 educ age weight black wage IQ
15,31.3,29.1,2.2,nearc4 educ age weight black wage IQ
15,31.0,23.0,8.0,nearc4 educ age weight black wage IQ
15,6.1,19.2,13.1,nearc4 educ age weight black wage IQ lwage KWW
15,4.3,26.1,21.8,nearc4 educ age weight black wage IQ lwage KWW
15,9.5,20.7,11.2,nearc4 educ age weight black wage IQ lwage KWW
15,9.2,34.4,25.2,nearc4 educ age weight black wage IQ lwage KWW
15,10.7,33.0,22.3,nearc4 educ age weight black wage IQ lwage KWW
15,8.0,17.5,9.5,nearc4 educ age weight black wage IQ lwage KWW
15,11.7,28.2,16.5,nearc4 educ age weight black wage IQ lwage KWW
15,17.1,34.4,17.3,nearc4 educ age weight black wage IQ lwage KWW
15,15.7,37.1,21.4,nearc4 educ age weight black wage IQ lwage KWW
15,10.0,21.7,11.7,nearc4 educ age weight black wage IQ lwage KWW
15,7.9,27.8,19.9,nearc4 educ age weight black wage IQ lwage enroll
15,8.2,23.9,15.7,nearc4 educ age weight black wage IQ lwage enroll
15,16.0,29.2,13.2,nearc4 educ age weight black wage IQ lwage enroll
15,6.7,19.1,12.4,nearc4 educ age weight black wage IQ lwage enroll
15,6.2,26.2,20.0,nearc4 educ age weight black wage IQ lwage enroll
15,8.6,25.7,17.1,nearc4 educ age weight black wage IQ lwage enroll
15,6.9,25.6,18.7,nearc4 educ age weight black wage IQ lwage enroll
15,9.1,36.3,27.2,nearc4 educ age weight black wage IQ lwage enroll
15,4.9,28.3,23.4,nearc4 educ age weight black wage IQ lwage enroll
15,18.2,35.7,17.5,nearc4 educ age weight black wage IQ lwage enroll
15,9.4,30.7,21.3,nearc4 educ age weight black wage IQ lwage enroll
15,13.5,47.0,33.5,nearc4 educ age weight black wage IQ lwage libcrd14
15,6.8,17.9,11.1,nearc4 educ age weight black wage IQ lwage libcrd14
15,6.2,23.0,16.8,nearc4 educ age weight black wage IQ lwage libcrd14
15,4.4,22.6,18.2,nearc4 educ age weight black wage IQ lwage libcrd14
15,11.1,31.6,20.5,nearc4 educ age weight black wage IQ lwage libcrd14
15,9.8,35.3,25.5,nearc4 educ age weight black wage IQ lwage libcrd14
15,13.4,44.1,30.7,nearc4 educ age weight black wage IQ lwage libcrd14
15,6.7,21.2,14.5,nearc4 educ age weight black wage IQ lwage libcrd14
15,7.9,24.7,16.8,nearc4 educ age weight black wage IQ lwage libcrd14
15,7.3,26.2,18.9,nearc4 educ age weight black wage IQ lwage libcrd14
