Sample,Before,After,Different,Feature
5,6,23,17,nearc4 educ age black wage IQ exper lwage
5,7,26,19,nearc4 educ age black wage IQ exper lwage
5,10.8,23.8,13,nearc4 educ age black wage IQ exper lwage
5,8,23.2,15.2,nearc4 educ age black wage IQ exper lwage
5,9,31.2,22.2,nearc4 educ age black wage IQ exper lwage
5,9.4,22.7,13.3,nearc4 educ age black wage IQ exper lwage
5,11.8,49.4,37.6,nearc4 educ age black wage IQ exper lwage
5,17.5,38.5,21,nearc4 educ age black wage IQ exper lwage
5,7.7,19.6,11.9,nearc4 educ age black wage IQ exper lwage
5,8.2,24.3,16.1,nearc4 educ age black wage IQ exper lwage
5,6.1,25.1,19,nearc4 educ age black wage IQ exper lwage
5,4.1,13.6,9.5,nearc4 educ age black wage IQ exper lwage
5,2.5,13.3,10.8,nearc4 educ age black wage IQ exper lwage
5,4.6,23.5,18.9,nearc4 educ age black wage IQ exper lwage
5,6.6,30.9,24.3,nearc4 educ age black wage IQ exper lwage
5,7.3,32.2,24.9,nearc4 educ age black wage IQ exper lwage
5,5.5,18.5,13,nearc4 educ age black wage IQ exper lwage
5,12.9,27.7,14.8,nearc4 educ age black wage IQ exper lwage
5,17.7,36.4,18.7,nearc4 educ age black wage IQ exper lwage
5,7.6,34.8,27.2,nearc4 educ age black wage IQ exper lwage
5,6.7,11.3,4.6,nearc4 educ age black wage IQ exper lwage
10,8.3,16.7,8.4,nearc4 educ age black wage IQ exper lwage
10,8.1,23.4,15.3,nearc4 educ age black wage IQ exper lwage
10,12.2,26.5,14.3,nearc4 educ age black wage IQ exper lwage
10,29.3,26.3,3,nearc4 educ age black wage IQ exper lwage
10,14,40.2,26.2,nearc4 educ age black wage IQ exper lwage
10,18.2,31.4,13.2,nearc4 educ age black wage IQ exper lwage
10,12.9,31.5,18.6,nearc4 educ age black wage IQ exper lwage
5,6.2,23.3,17.1,nearc4 educ age black wage IQ exper lwage
5,5.1,41.2,36.1,nearc4 educ age black wage IQ exper lwage
5,6.0,17.5,11.5,nearc4 educ age black wage IQ exper lwage
5,13.6,45.6,32.0,nearc4 educ age black wage IQ exper lwage
20,11.9,27.0,15.1,nearc4 educ age black wage IQ exper lwage
100,12.1,27.9,15.8,nearc4 educ age black wage IQ exper lwage
200,8.9,21.9,13.0,nearc4 educ age black wage IQ exper lwage
200,8.9,24.4,15.5,nearc4 educ age black wage IQ exper lwage
100,8.2,24.0,15.8,nearc4 educ age black wage IQ exper lwage
100,9.3,25.3,16.0,nearc4 educ age black wage IQ exper lwage
100,10.1,22.2,12.1,nearc4 educ age black wage IQ exper lwage
100,13.1,27.7,14.6,nearc4 educ age black wage IQ exper lwage
100,9.7,25.0,15.3,nearc4 educ age black wage IQ exper lwage
100,14.3,28.0,13.7,nearc4 educ age black wage IQ exper lwage
100,9.0,25.2,16.2,nearc4 educ age black wage IQ exper lwage
100,7.9,23.5,15.6,nearc4 educ age black wage IQ exper lwage
