Sample,Before,After,Different,Feature
15,11.9,23.6,11.7,nearc4 educ age black wage IQ lwage
15,11.6,28.8,17.2,nearc4 educ age black wage IQ lwage
15,7.7,28.2,20.5,nearc4 educ age black wage IQ lwage
15,6.9,19.9,13.0,nearc4 educ age black wage IQ lwage
15,17.7,47.5,29.8,nearc4 educ age black wage IQ lwage
15,8.1,23.4,15.3,nearc4 educ age black wage IQ lwage
15,7.1,23.3,16.2,nearc4 educ age black wage IQ lwage
15,9.0,21.2,12.2,nearc4 educ age black wage IQ lwage
15,19.2,51.0,31.8,nearc4 educ age black wage IQ lwage
15,6.7,20.9,14.2,nearc4 educ age black wage IQ lwage
15,11.4,27.1,15.7,nearc4 educ age black wage IQ lwage
15,6.3,20.2,13.9,nearc4 educ age black wage IQ lwage
15,13.3,29.8,16.5,nearc4 educ age black wage IQ lwage
15,7.2,18.5,11.3,nearc4 educ age black wage IQ lwage
15,7.8,22.6,14.8,nearc4 educ age black wage IQ lwage
15,10.1,37.2,27.1,nearc4 educ age black wage IQ lwage
15,11.0,26.5,15.5,nearc4 educ age black wage IQ lwage
15,5.0,36.1,31.1,nearc4 educ age black wage IQ lwage
15,5.1,24.6,19.5,nearc4 educ age black wage IQ lwage
15,5.0,16.3,11.3,nearc4 educ age black wage IQ lwage
15,8.0,22.7,14.7,nearc4 educ age black wage IQ lwage
15,13.8,34.4,20.6,nearc4 educ age black wage IQ lwage
15,15.2,37.9,22.7,nearc4 educ age black wage IQ lwage
15,6.3,21.8,15.5,nearc4 educ age black wage IQ lwage
15,11.3,20.6,9.3,nearc4 educ age black wage IQ lwage
15,9.6,25.9,16.3,nearc4 educ age black wage IQ lwage
15,31.1,49.3,18.2,nearc4 educ age black wage IQ lwage
15,18.7,42.3,23.6,nearc4 educ age black wage IQ lwage
15,10.2,30.3,20.1,nearc4 educ age black wage IQ lwage
15,11.3,26.8,15.5,nearc4 educ age black wage IQ lwage
15,8.9,36.0,27.1,nearc4 educ age black wage IQ lwage
15,6.2,24.6,18.4,nearc4 educ age black wage IQ lwage
15,11.9,40.6,28.7,nearc4 educ age black wage IQ lwage
15,7.1,28.4,21.3,nearc4 educ age black wage IQ lwage
15,5.9,21.0,15.1,nearc4 educ age black wage IQ lwage
15,8.6,22.8,14.2,nearc4 educ age black wage IQ lwage
15,10.2,35.8,25.6,nearc4 educ age black wage IQ lwage
15,11.3,38.7,27.4,nearc4 educ age black wage IQ lwage
15,6.4,23.1,16.7,nearc4 educ age black wage IQ lwage
15,6.7,22.0,15.3,nearc4 educ age black wage IQ lwage
15,17.7,43.9,26.2,nearc4 educ age black wage IQ lwage
15,9.3,33.2,23.9,nearc4 educ age black wage IQ lwage
15,11.6,22.8,11.2,nearc4 educ age black wage IQ lwage
15,6.2,28.7,22.5,nearc4 educ age black wage IQ lwage
15,7.7,24.3,16.6,nearc4 educ age black wage IQ lwage
15,9.1,21.3,12.2,nearc4 educ age black wage IQ lwage
15,11.9,41.3,29.4,nearc4 educ age black wage IQ lwage
15,6.2,17.5,11.3,nearc4 educ age black wage IQ lwage
15,7.4,16.1,8.7,nearc4 educ age black wage IQ lwage
15,9.8,34.6,24.8,nearc4 educ age black wage IQ lwage
15,14.3,50.3,36.0,nearc4 educ age weight black wage IQ lwage
15,11.9,37.8,25.9,nearc4 educ age weight black wage IQ lwage
15,15.6,33.8,18.2,nearc4 educ age weight black wage IQ lwage
15,12.0,46.3,34.3,nearc4 educ age weight black wage IQ lwage
15,7.0,17.9,10.9,nearc4 educ age weight black wage IQ lwage
