Sample,Before,After,Different,Feature
15,7.1,20.4,13.3,nearc4 educ age weight black wage IQ lwage
15,8.4,17.7,9.3,nearc4 educ age weight black wage IQ lwage
15,9.5,25.6,16.1,nearc4 educ age weight black wage IQ lwage
15,11.6,27.4,15.8,nearc4 educ age weight black wage IQ lwage
15,7.7,24.0,16.3,nearc4 educ age weight black wage IQ lwage
15,9.3,33.2,23.9,nearc4 educ age weight black wage IQ lwage
15,8.9,26.4,17.5,nearc4 educ age weight black wage IQ lwage
15,8.6,25.3,16.7,nearc4 educ age weight black wage IQ lwage
15,5.9,22.8,16.9,nearc4 educ age weight black wage IQ lwage
15,11.7,39.8,28.1,nearc4 educ age weight black wage IQ lwage
15,14.1,25.6,11.5,nearc4 educ age weight black wage IQ lwage
15,9.3,34.9,25.6,nearc4 educ age weight black wage IQ lwage
15,7.3,33.5,26.2,nearc4 educ age weight black wage IQ lwage
15,10.1,28.8,18.7,nearc4 educ age weight black wage IQ lwage
15,10.6,26.6,16.0,nearc4 educ age weight black wage IQ lwage
15,5.5,27.4,21.9,nearc4 educ age weight black wage IQ lwage
15,15.3,42.6,27.3,nearc4 educ age weight black wage IQ lwage
15,7.3,26.7,19.4,nearc4 educ age weight black wage IQ lwage
15,6.4,14.1,7.7,nearc4 educ age weight black wage IQ lwage
15,6.7,28.6,21.9,nearc4 educ age weight black wage IQ lwage
15,11.5,23.9,12.4,nearc4 educ age weight black wage IQ lwage
15,9.2,24.5,15.3,nearc4 educ age weight black wage IQ lwage
15,6.3,30.5,24.2,nearc4 educ age weight black wage IQ lwage
15,16.1,35.0,18.9,nearc4 educ age weight black wage IQ lwage
15,13.6,27.9,14.3,nearc4 educ age weight black wage IQ lwage
15,13.7,50.6,36.9,nearc4 educ age weight black wage IQ lwage
15,12.6,29.8,17.2,nearc4 educ age weight black wage IQ lwage
15,11.5,39.0,27.5,nearc4 educ age weight black wage IQ lwage
15,6.7,22.5,15.8,nearc4 educ age weight black wage IQ lwage
15,7.5,22.9,15.4,nearc4 educ age weight black wage IQ lwage
15,4.8,22.3,17.5,nearc4 educ age weight black wage IQ lwage
15,13.6,40.0,26.4,nearc4 educ age weight black wage IQ lwage
15,7.7,23.1,15.4,nearc4 educ age weight black wage IQ lwage
15,7.8,29.0,21.2,nearc4 educ age weight black wage IQ lwage
15,8.3,27.7,19.4,nearc4 educ age weight black wage IQ lwage
15,7.3,18.7,11.4,nearc4 educ age weight black wage IQ lwage
15,12.8,34.0,21.2,nearc4 educ age weight black wage IQ lwage
15,10.8,32.4,21.6,nearc4 educ age weight black wage IQ lwage
15,9.1,32.8,23.7,nearc4 educ age weight black wage IQ lwage
15,7.4,26.5,19.1,nearc4 educ age black wage IQ lwage
15,7.3,32.4,25.1,nearc4 educ black wage IQ lwage
100,11.6,30.4,18.8,nearc4 educ black wage IQ lwage
100,7.7,21.3,13.6,nearc4 educ age black wage IQ lwage
100,7.5,25.7,18.2,nearc4 educ age black wage IQ lwage exper
100,10.1,35.9,25.8,nearc4 educ black wage IQ lwage exper expersq
20,8.1,31.7,23.6,nearc4 educ black wage IQ lwage exper expersq
20,7.1,23.1,16.0,nearc4 educ black wage IQ lwage exper expersq
20,6.4,23.3,16.9,nearc4 educ black wage IQ lwage exper expersq
20,7.0,24.2,17.2,nearc4 educ black wage IQ lwage exper expersq
100,9.5,28.9,19.4,nearc4 educ black wage IQ lwage exper expersq
100,9.2,27.1,17.9,nearc4 educ black wage IQ lwage exper expersq
100,10.5,31.6,21.1,nearc4 educ black wage IQ lwage exper expersq
100,7.6,27.1,19.5,nearc4 educ black wage IQ lwage exper expersq
100,8.5,28.4,19.9,nearc4 educ black wage IQ lwage exper expersq
5,7.1,34.4,27.3,nearc4 educ black wage IQ lwage exper expersq
5,3.2,34.4,31.2,nearc4 educ black wage IQ lwage exper expersq
5,9.9,27.3,17.4,nearc4 educ black wage IQ lwage exper expersq
5,24.0,54.5,30.5,nearc4 educ black wage IQ lwage exper expersq
1000,9.8,29.4,19.6,nearc4 educ black wage IQ lwage exper expersq
1000,10.2,29.6,19.4,nearc4 educ black wage IQ lwage exper expersq
1000,9.9,29.5,19.6,nearc4 educ black wage IQ lwage exper expersq
1000,9.8,29.0,19.2,nearc4 educ black wage IQ lwage
1000,9.5,29.1,19.6,nearc4 educ age black wage IQ lwage
1000,9.8,30.6,20.8,nearc4 educ age black wage IQ lwage
100,9.1,18.2,9.1,nearc4 educ age black wage IQ lwage
100,7.1,17.8,10.7,nearc4 educ age black wage IQ lwage
100,9.4,17.6,8.2,nearc4 educ age black wage IQ lwage
100,7.5,17.9,10.4,nearc4 educ age black wage IQ lwage
100,9.7,19.7,10.0,nearc4 educ age black wage IQ lwage
100,7.5,17.3,9.8,nearc4 educ age black wage IQ lwage
100,7.9,18.7,10.8,nearc4 educ age black wage IQ lwage
100,11.6,22.5,10.9,nearc4 educ age black wage IQ lwage
100,8.8,18.6,9.8,nearc4 educ age black wage IQ lwage
100,10.7,17.6,6.9,nearc4 educ age black wage IQ lwage
100,7.7,17.7,10.0,nearc4 educ age black wage IQ lwage
100,10.3,21.4,11.1,nearc4 educ age black wage IQ lwage
100,9.6,19.0,9.4,nearc4 educ age black wage IQ lwage
100,8.4,20.1,11.7,nearc4 educ age black wage IQ lwage
100,9.5,18.6,9.1,nearc4 educ age black wage IQ lwage
100,12.0,19.6,7.6,nearc4 educ age black wage IQ lwage
100,10.9,18.8,7.9,nearc4 educ age black wage IQ lwage
100,8.8,18.1,9.3,nearc4 educ age black wage IQ lwage
100,10.6,22.1,11.5,nearc4 educ age black wage IQ lwage
100,11.0,19.4,8.4,nearc4 educ age black wage IQ lwage
100,11.4,19.1,7.7,nearc4 educ age black wage IQ lwage
100,8.2,17.8,9.6,nearc4 educ age black wage IQ lwage
100,12.4,19.1,6.7,nearc4 educ age black wage IQ lwage
100,9.5,18.9,9.4,nearc4 educ age black wage IQ lwage
100,7.6,19.5,11.9,nearc4 educ age black wage IQ lwage
100,9.5,19.2,9.7,nearc4 educ age black wage IQ lwage
100,7.3,17.4,10.1,nearc4 educ age black wage IQ lwage
1000,9.5,18.9,9.4,nearc4 educ age black wage IQ lwage
1000,9.5,19.0,9.5,nearc4 educ age black wage IQ lwage
2000,9.9,19.3,9.4,nearc4 educ age black wage IQ lwage
